GeoFips,GeoName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01000,Alabama,32500,32399,33351,34538,34919,36173,37645,39013,41829,45709,45782,48945
02000,Alaska,49166,47672,50262,51514,50718,51925,54641,55793,57332,60359,62639,65943
04000,Arizona,33019,33240,34441,35676,36850,38761,40703,42742,46918,50772,51686,56293
05000,Arkansas,33083,32790,34568,35422,36197,37338,39143,39700,42969,47663,49139,52282
06000,California,41888,41448,43467,45854,47721,49754,52048,54899,60053,64402,62606,69140
08000,Colorado,40246,41353,44028,44766,44515,47187,50729,53663,56981,62204,65296,70179
09000,Connecticut,54460,51844,53968,55282,56978,58241,61207,62942,65283,68459,69134,76114
10000,Delaware,39107,38993,40297,41776,42641,44187,46708,47334,48988,52031,54838,58787
11000,District of Columbia,57840,56823,59705,62894,65630,67434,69502,70135,76320,82036,82046,89538
12000,Florida,37382,36526,38285,39849,40999,42650,45626,47931,50338,54803,55635,60972
13000,Georgia,33558,33414,35234,36840,38004,39783,41667,43249,46100,49481,49281,52880
15000,Hawaii,39492,39073,40727,41904,43114,44867,45986,47951,50863,53738,53777,58283
16000,Idaho,31736,32324,33567,34930,35568,37012,39082,41282,44467,49090,49724,52972
17000,Illinois,40458,40766,42304,44014,44837,46557,49279,50702,54472,58015,58056,63018
18000,Indiana,35469,35452,36637,37717,38560,40066,42169,43462,46657,51234,51661,54717
19000,Iowa,38305,38514,39522,40547,40723,41788,43895,44565,47497,52345,54527,56552
20000,Kansas,40542,40947,41502,41720,41867,43314,45114,46703,49518,52416,54406,59102
21000,Kentucky,32257,32121,33399,34605,35055,36142,37433,39013,42646,46700,46545,49744
22000,Louisiana,37095,37138,38502,38554,38154,39587,41611,42873,46405,50274,49913,53626
23000,Maine,36214,35885,36988,38407,39446,41150,43024,44760,48843,52682,53812,58110
24000,Maryland,45986,44894,45875,47369,48740,50299,51868,53027,56224,59434,59590,64681
25000,Massachusetts,48680,47557,49000,51670,53568,55820,58721,61261,66215,70094,69440,76107
26000,Michigan,35104,34958,36348,38078,38882,40100,41962,43307,47587,50744,50554,54612
27000,Minnesota,41715,41138,42759,44169,44693,46529,48872,50296,53701,58535,59334,63250
28000,Mississippi,30924,31237,31849,32164,32620,33647,34785,36104,39375,43249,42805,45805
29000,Missouri,36102,35887,36948,37867,38911,39922,41810,43330,47025,50499,51547,55935
30000,Montana,36295,35951,37306,38335,38587,40540,42374,44296,47746,51683,52721,57099
31000,Nebraska,41958,41185,43154,44548,43546,44427,46401,48107,51158,56771,59008,64211
32000,Nevada,36048,35212,36986,39224,39679,42025,44133,46747,49128,53557,53659,58565
33000,New Hampshire,46249,45502,46713,48393,49571,51779,54334,57430,60778,65102,64402,69821
34000,New Jersey,47578,46907,48647,50093,51349,53145,55622,58468,61563,65710,65139,71166
35000,New Mexico,32806,31691,33558,34305,35009,35740,37528,39425,42968,46609,47641,49969
36000,New York,44941,44154,45274,46705,48765,51946,53635,55621,59792,63146,62031,68435
37000,North Carolina,35080,33945,35559,36820,37614,39213,41012,42991,46306,50510,51188,54995
38000,North Dakota,50147,48039,50106,47201,46162,46796,50267,51349,55338,59738,63600,65240
39000,Ohio,36042,36227,37633,38877,39589,41084,42848,44178,47622,51301,51077,54915
40000,Oklahoma,38111,39539,41612,40009,38057,39772,41993,43968,46069,49846,52422,55465
41000,Oregon,34724,34501,36391,38284,39294,41260,43771,45348,49763,54231,54096,58633
42000,Pennsylvania,40796,40630,41929,43308,44545,45783,48397,49744,53843,56271,56292,60812
44000,Rhode Island,40690,40021,41287,42430,42753,44570,46371,48918,52935,55493,55519,59820
45000,South Carolina,32660,32432,34148,35575,36500,38061,39498,41381,44014,47566,47586,51274
46000,South Dakota,41364,41102,42538,43893,43853,45200,47527,50202,54793,61374,62963,66607
47000,Tennessee,36227,35965,36895,38283,39080,40609,42725,44982,47905,52422,53070,56938
48000,Texas,39911,40028,42009,41976,41500,43624,46733,48323,50019,54385,55978,60147
49000,Utah,32094,32239,33541,35392,36528,38201,40399,42599,45668,50459,51607,56039
50000,Vermont,40751,40745,42100,43064,43616,44738,46469,48557,52298,53788,55217,59456
51000,Virginia,43459,42198,43526,44896,45811,47382,49077,50772,53828,58215,59165,64506
53000,Washington,42767,42643,45017,46604,48092,50470,53425,56497,60442,64824,64899,71225
54000,West Virginia,32102,31766,32752,33458,33583,35261,37448,38824,41231,44632,44999,48076
55000,Wisconsin,38166,37809,39202,40515,40988,42757,44957,46369,49618,53762,53940,57829
56000,Wyoming,47751,46956,50073,50085,48096,50609,53615,55689,58210,62202,65704,72699
